1,condado del rey,SA,N
2,los andes n° 1,SA,N
3,pan de azucar,SA,N
4,9 de enero,SA,N
5,fátima,SA,N
6,el martillo,SA,N
7,el cristo,SA,N
8,santa clara,SA,S
9,villa lucre,SA,S
10,colonia las lomas,SA,S
11,la pulida,SA,S
12,punta fresca,SA,S
13,nuevo veranillo,SB,N
14,san josé,SB,N
15,el crisol,SB,S
16,el sitio,SB,S
17,llano bonito,SB,S
18,urb el bosque del hipodromo,SB,S
19,centro comercial los andes n°2,SC,N
20,don bosco,SC,N
21,los andes n°2,SC,N
22,samaria,SC,N
23,altos del hipódromo,SC,S
24,dorasol,SC,S
25,residencial alta vista,SC,S
26,residencial altos de san pedro,SC,S
27,san fernando,SC,S
28,san pedro,SC,S
29,santa pera,SC,S
30,villa venus,SC,S
31,cerro batea,SD,N
32,san isidro,SD,N
33,tinajita,SD,N
34,colinas de cerro batea,SE,N
35,santa librada,SE,N
36,templo bahai,SE,N
37,valle de san isidro,SE,N
38,altos de cerro viento,SE,S
39,cerro viento,SE,S
40,cerro viento rural,SE,S
41,el chimborazo (juan diaz),SE,S
42,las trancas,SE,S
43,los pueblos,SE,S
44,santa ines,SE,S
45,cerro cocobolo,SF,N
46,chivo chivo,SF,N
47,mano de piedra,SF,N
48,santa marta,SF,N
49,sonsonate,SF,N
50,torrijos carter,SF,N
51,valle de urracá,SF,N
52,brisas del golf,SF,S
53,ciudad radial,SF,S
54,el guayabito,SF,S
55,la concepción,SF,S
56,nueva california,SF,S
57,pedregalito,SF,S
58,san antonio,SF,S
59,altos de las acacias,SG,S
60,don bosco,SG,S
61,naranjal,SG,S
62,pedregal anasal,SG,S
63,rana de oro,SG,S
64,san joaquin,SG,S
65,teremar plaza tocumen,SG,S
66,villa catalina,SG,S
67,cipreses,SH,N
68,colonia infantil,SH,N
69,versalles campestre,SH,N
70,villa zaita,SH,N
71,villalobos,SH,S
72,la cabima,SI,N
73,las cumbres,SI,N
74,las lajas,SI,N
75,lucha franco,SI,N
76,nueva libia despues del puente,SI,N
77,club del golf,SI,S
78,la bandera,SI,S
79,villa adelina,SI,S
80,alcalde diaz,SJ,N
81,ciudad bolivar,SJ,N
82,barriada tocumen,SJ,S
83,ciudad belén,SJ,S
84,ciudad jardin las mañanitas,SJ,S
85,hotel holiday inn,SJ,S
86,la doña,SJ,S
87,la siesta,SJ,S
88,las mañanitas,SJ,S
89,monte rico,SJ,S
90,morelos,SJ,S
91,24 de diciembre,SK,S
92,altos de tocumen,SK,S
93,cabuyita,SK,S
94,ruben dario paredes,SK,S
95,urb dos rios,SK,S
96,vista hermosa,SK,S
97,agua buena,SL,N
98,el tecal,SL,N
99,la esmeralda,SL,N
100,la unión,SL,N
101,quebrada ancha,SL,N
102,san vicente,SL,N
103,villa grecia,SL,N
104,la boca,Z1,
105,calzada de amador,Z1,
106,san felipe,Z2,
107,chorrillo,Z2,
108,santa ana,Z2,
109,ancón,Z2,
110,calidonia,Z3,
111,san miguel,Z3,
112,albrook,Z3,
113,altos de diablo,Z3,
114,punta paitilla,Z4,
115,bella vista,Z4,
116,universidad,Z4,
117,punta pacífica,Z5,
118,el dorado,Z5,
119,las sabanas,Z5,
120,bethania,Z5,
121,panamá viejo,Z6,
122,río abajo,Z6,
123,villa de las fuentes,Z6,
124,los libertadores,Z6,
125,costa del este,Z7,
126,chanis,Z7,
127,auto motor,Z7,
